datetime,sigai_output,rolling_mean,std,0.7std,1.5std,3std,upper_0.7std,lower_0.7std,upper_1.5std,lower_1.5std,upper_3std,lower_3std,SB,MB,WB,A,WS,MS,SS
2023-12-20 14:00:00,0.01040272,0.02266578958333333,0.009521346566714268,0.006664942596699987,0.014282019850071402,0.028564039700142804,0.02933073218003332,0.016000846986633344,0.036947809433404734,0.00838376973326193,0.051229829283476136,-0.0058982501168094725,0,1,0,0,0,0,0
2023-12-20 15:00:00,0.01132667,0.0215660375,0.009226584279653036,0.006458608995757125,0.013839876419479554,0.02767975283895911,0.028024646495757123,0.015107428504242874,0.03540591391947955,0.007726161080520445,0.04924579033895911,-0.0061137153389591095,0,1,0,0,0,0,0
2023-12-20 16:00:00,0.0159179,0.021156449583333334,0.009251023423412417,0.006475716396388691,0.013876535135118625,0.02775307027023725,0.027632165979722026,0.014680733186944642,0.03503298471845196,0.007279914448214709,0.04890951985357059,-0.006596620686903917,0,0,1,0,0,0,0
2023-12-20 17:00:00,0.01633541,0.02082759125,0.009277334190617584,0.006494133933432309,0.013916001285926377,0.027832002571852754,0.02732172518343231,0.01433345731656769,0.034743592535926376,0.006911589964073622,0.048659593821852754,-0.007004411321852755,0,0,1,0,0,0,0
2023-12-20 18:00:00,0.01649004,0.020511759583333334,0.009291165808082523,0.006503816065657766,0.013936748712123786,0.02787349742424757,0.0270155756489911,0.014007943517675567,0.03444850829545712,0.006575010871209548,0.04838525700758091,-0.007361737840914238,0,0,1,0,0,0,0
2023-12-20 19:00:00,0.01613828,0.020172378333333334,0.00929616574169138,0.006507316019183966,0.01394424861253707,0.02788849722507414,0.0266796943525173,0.013665062314149368,0.03411662694587041,0.006228129720796264,0.048060875558407476,-0.007716118891740807,0,0,1,0,0,0,0
2023-12-20 20:00:00,0.01574599,0.019828677916666666,0.009301184892438686,0.0065108294247070795,0.013951777338658029,0.027903554677316058,0.026339507341373747,0.013317848491959586,0.03378045525532469,0.005876900578008637,0.047732232593982724,-0.008074876760649392,0,0,1,0,0,0,0
2023-12-20 21:00:00,0.01618548,0.019541256666666666,0.009302810945617038,0.006511967661931926,0.013954216418425557,0.027908432836851113,0.026053224328598593,0.01302928900473474,0.03349547308509222,0.00558704024824111,0.04744968950351778,-0.008367176170184447,0,0,1,0,0,0,0
2023-12-20 22:00:00,0.01712573,0.019341135833333332,0.009300880653866507,0.006510616457706554,0.01395132098079976,0.02790264196159952,0.025851752291039885,0.012830519375626778,0.03329245681413309,0.005389814852533571,0.047243777794932856,-0.00856150612826619,0,0,1,0,0,0,0
2023-12-20 23:00:00,0.01776153,0.01920828875,0.009299673585587384,0.006509771509911168,0.013949510378381075,0.02789902075676215,0.02571806025991117,0.012698517240088832,0.03315779912838107,0.005258778371618925,0.047107309506762146,-0.00869073200676215,0,0,1,0,0,0,0
2023-12-21 00:00:00,0.02120874,0.01874205,0.008880692786412233,0.006216484950488562,0.01332103917961835,0.0266420783592367,0.02495853495048856,0.012525565049511437,0.03206308917961835,0.00542101082038165,0.0453841283592367,-0.0079000283592367,0,0,0,0,1,0,0
2023-12-21 01:00:00,0.02238261,0.018340804999999998,0.00846275563752855,0.005923928946269984,0.012694133456292825,0.02538826691258565,0.024264733946269983,0.012416876053730014,0.03103493845629282,0.005646671543707174,0.04372907191258565,-0.007047461912585651,0,0,0,0,1,0,0
2023-12-21 02:00:00,0.02275362,0.017980824583333332,0.00805745272934099,0.005640216910538693,0.012086179094011485,0.02417235818802297,0.023621041493872025,0.01234060767279464,0.030067003677344818,0.005894645489321847,0.0421531827713563,-0.006191533604689638,0,0,0,0,1,0,0
2023-12-21 03:00:00,0.02333831,0.017654460416666667,0.007648196152638772,0.00535373730684714,0.011472294228958157,0.022944588457916314,0.023008197723513805,0.012300723109819528,0.029126754645624822,0.0061821661877085095,0.04059904887458298,-0.005290128041249648,0,0,0,0,0,1,0
2023-12-21 04:00:00,0.02360681,0.017339730833333334,0.007211186088218214,0.005047830261752749,0.010816779132327321,0.021633558264654643,0.022387561095086085,0.012291900571580585,0.028156509965660655,0.006522951701006013,0.03897328909798797,-0.004293827431321309,0,0,0,0,0,1,0
2023-12-21 05:00:00,0.02356065,0.01702306,0.006728590022361074,0.0047100130156527515,0.010092885033541612,0.020185770067083223,0.021733073015652752,0.012313046984347247,0.02711594503354161,0.006930174966458388,0.037208830067083226,-0.0031627100670832235,0,0,0,0,0,1,0
2023-12-21 06:00:00,0.02333398,0.016696506666666666,0.006179901163363041,0.004325930814354128,0.009269851745044562,0.018539703490089123,0.021022437481020794,0.012370575852312538,0.02596635841171123,0.007426654921622105,0.03523621015675579,-0.001843196823422457,0,0,0,0,0,1,0
2023-12-21 07:00:00,0.02420122,0.01640797416666667,0.005612522966812601,0.003928766076768821,0.008418784450218902,0.016837568900437805,0.02033674024343549,0.012479208089897848,0.02482675861688557,0.007989189716447766,0.03324554306710448,-0.000429594733771136,0,0,0,0,0,1,0
2023-12-21 08:00:00,0.02668136,0.017132565833333332,0.005774012777711251,0.004041808944397875,0.008661019166566876,0.01732203833313375,0.02117437477773121,0.013090756888935457,0.025793584999900206,0.008471546666766456,0.03445460416646708,-0.00018947249980041936,0,0,0,0,0,0,1
2023-12-21 09:00:00,0.0255489,0.017814776666666667,0.005760274214964011,0.0040321919504748074,0.008640411322446017,0.017280822644892033,0.021846968617141475,0.01378258471619186,0.026455187989112686,0.00917436534422065,0.0350955993115587,0.0005339540217746339,0,0,0,0,0,1,0
