datetime,sigai_output,signal
2023-11-09 15:00:00,0.02085242,WSS
2023-11-09 16:00:00,0.02414205,WSS
2023-11-09 17:00:00,0.02157279,WSS
2023-11-09 18:00:00,0.02184572,WSS
2023-11-09 19:00:00,0.02179594,WSS
2023-11-09 21:00:00,0.02780006,WSS
2023-11-09 22:00:00,0.02966533,WSS
2023-11-10 00:00:00,0.06118821,SSS
2023-11-10 01:00:00,0.06269513,SSS
2023-11-10 02:00:00,0.06360782,SSS
2023-11-10 03:00:00,0.06453029,SSS
2023-11-10 04:00:00,0.05980892,SSS
2023-11-10 05:00:00,0.06018865,SSS
2023-11-12 00:00:00,0.018841,WSS
2023-11-12 19:00:00,0.02626653,WSS
2023-11-12 20:00:00,0.02803847,WSS
2023-11-12 21:00:00,0.02848163,WSS
2023-11-12 22:00:00,0.0290142,WSS
2023-11-12 23:00:00,0.02886086,WSS
2023-11-13 00:00:00,0.02923341,WSS
2023-11-14 16:00:00,0.02131786,WSS
2023-11-14 17:00:00,0.02089225,WSS
2023-11-14 18:00:00,0.0210342,WSS
2023-11-18 08:00:00,0.0115312,WSS
2023-11-18 09:00:00,0.01153255,WSS
2023-11-18 10:00:00,0.01153263,WSS
2023-11-20 00:00:00,0.01069772,WSS
2023-11-20 01:00:00,0.01080257,WSS
2023-11-20 02:00:00,0.01085325,WSS
2023-11-20 03:00:00,0.01104414,WSS
2023-11-20 04:00:00,0.01118711,WSS
2023-11-20 05:00:00,0.01125609,WSS
2023-11-20 06:00:00,0.01129174,WSS
2023-11-20 07:00:00,0.011275,WSS
2023-11-20 08:00:00,0.01224226,WSS
2023-11-20 09:00:00,0.01214903,WSS
2023-11-22 00:00:00,0.01045919,WSS
2023-11-22 01:00:00,0.01057021,WSS
2023-11-22 02:00:00,0.01066009,WSS
2023-11-22 03:00:00,0.01063929,WSS
2023-11-23 08:00:00,0.01294034,WSS
2023-11-23 09:00:00,0.01317295,WSS
2023-11-23 10:00:00,0.01362926,WSS
2023-11-23 11:00:00,0.01388339,WSS
2023-11-23 12:00:00,0.01393658,WSS
2023-11-24 12:00:00,0.01309939,WSS
2023-11-24 13:00:00,0.01360546,WSS
2023-11-24 14:00:00,0.01402712,WSS
2023-11-24 15:00:00,0.01481008,WSS
2023-11-24 16:00:00,0.01799947,WSS
2023-11-24 17:00:00,0.01788598,WSS
2023-11-24 18:00:00,0.0173118,WSS
2023-11-24 19:00:00,0.01689933,WSS
2023-11-26 15:00:00,0.01251665,WSS
2023-12-01 07:00:00,0.01026878,WSS
2023-12-01 08:00:00,0.01457071,WSS
2023-12-01 09:00:00,0.01546836,WSS
2023-12-01 10:00:00,0.01636337,WSS
2023-12-01 11:00:00,0.01686144,WSS
2023-12-01 12:00:00,0.01979352,WSS
2023-12-01 13:00:00,0.01985008,WSS
2023-12-01 14:00:00,0.01987199,WSS
2023-12-01 15:00:00,0.01932301,WSS
2023-12-01 16:00:00,0.02211228,WSS
2023-12-01 17:00:00,0.02137929,WSS
2023-12-03 00:00:00,0.01525416,WSS
2023-12-03 01:00:00,0.01556674,WSS
2023-12-03 02:00:00,0.01566022,WSS
2023-12-03 23:00:00,0.01664223,WSS
2023-12-04 00:00:00,0.02296557,WSS
2023-12-04 01:00:00,0.02214194,WSS
2023-12-04 02:00:00,0.02419803,WSS
2023-12-04 03:00:00,0.02533192,WSS
2023-12-04 04:00:00,0.02817151,WSS
2023-12-04 05:00:00,0.02843046,WSS
2023-12-04 06:00:00,0.02876473,WSS
2023-12-04 07:00:00,0.0279512,WSS
2023-12-04 08:00:00,0.03834242,MSS
2023-12-04 09:00:00,0.03751219,MSS
2023-12-04 10:00:00,0.03592591,MSS
2023-12-08 00:00:00,0.01891681,WSS
2023-12-08 01:00:00,0.0188758,WSS
2023-12-08 02:00:00,0.01891541,WSS
2023-12-08 03:00:00,0.01912815,WSS
2023-12-08 04:00:00,0.01995801,WSS
2023-12-08 05:00:00,0.02079229,WSS
2023-12-08 06:00:00,0.02219782,WSS
2023-12-08 07:00:00,0.02245418,WSS
2023-12-08 08:00:00,0.02704308,WSS
2023-12-08 09:00:00,0.02727929,WSS
2023-12-08 10:00:00,0.0272274,WSS
2023-12-08 11:00:00,0.02778524,WSS
2023-12-08 12:00:00,0.02840541,WSS
2023-12-10 14:00:00,0.02373833,WSS
2023-12-10 15:00:00,0.02422046,WSS
2023-12-10 16:00:00,0.02922752,WSS
2023-12-10 17:00:00,0.02834758,WSS
2023-12-10 18:00:00,0.02752663,WSS
2023-12-12 19:00:00,0.01777102,WSS
2023-12-13 00:00:00,0.02209642,WSS
2023-12-13 01:00:00,0.02146919,WSS
2023-12-13 02:00:00,0.02110902,WSS
2023-12-13 03:00:00,0.0210771,WSS
2023-12-15 00:00:00,0.01108425,WSS
2023-12-15 01:00:00,0.01128294,WSS
2023-12-15 02:00:00,0.01150608,WSS
2023-12-15 03:00:00,0.01177693,WSS
2023-12-15 04:00:00,0.01200751,WSS
2023-12-15 05:00:00,0.01223146,WSS
2023-12-15 06:00:00,0.01265224,WSS
2023-12-15 07:00:00,0.01323238,WSS
2023-12-15 08:00:00,0.01762101,WSS
2023-12-15 09:00:00,0.01795085,WSS
2023-12-15 10:00:00,0.01829396,WSS
2023-12-15 11:00:00,0.01833213,WSS
2023-12-15 12:00:00,0.01852841,WSS
2023-12-15 13:00:00,0.01868358,WSS
2023-12-16 08:00:00,0.02303922,WSS
2023-12-16 09:00:00,0.02284367,WSS
2023-12-16 10:00:00,0.02325789,WSS
2023-12-16 11:00:00,0.02343732,WSS
2023-12-16 12:00:00,0.02314292,WSS
2023-12-16 16:00:00,0.02778389,WSS
2023-12-16 17:00:00,0.02671825,WSS
2023-12-17 08:00:00,0.03909471,MSS
2023-12-17 09:00:00,0.03731438,MSS
2023-12-17 10:00:00,0.03599036,MSS
2023-12-19 08:00:00,0.03536622,MSS
2023-12-19 09:00:00,0.03626539,MSS
2023-12-19 10:00:00,0.03688572,MSS
2023-12-19 11:00:00,0.03746825,MSS
2023-12-19 12:00:00,0.03861897,MSS
2023-12-19 13:00:00,0.03889844,MSS
2023-12-21 08:00:00,0.02668136,WSS
2023-12-21 10:00:00,0.02724438,WSS
2023-12-21 11:00:00,0.0292495,WSS
2023-12-21 12:00:00,0.02986041,WSS
2023-12-22 08:00:00,0.0668706,SSS
2023-12-22 09:00:00,0.06572976,SSS
2023-12-22 10:00:00,0.06702433,SSS
2023-12-22 11:00:00,0.06675655,SSS
2023-12-22 12:00:00,0.06587443,SSS
2023-12-22 13:00:00,0.06495671,SSS
2023-12-24 05:00:00,0.01002675,WSS
2023-12-24 06:00:00,0.01080341,WSS
2023-12-24 07:00:00,0.01161592,WSS
2023-12-24 08:00:00,0.03126947,WSS
2023-12-24 09:00:00,0.03111571,WSS
2023-12-24 10:00:00,0.03125901,WSS
2023-12-24 11:00:00,0.03137803,WSS
2023-12-24 12:00:00,0.0309414,WSS
2023-12-24 13:00:00,0.0301686,WSS
2023-12-25 08:00:00,0.03531203,MSS
2023-12-25 09:00:00,0.0351722,MSS
2023-12-25 10:00:00,0.03518144,MSS
2023-12-25 11:00:00,0.03521579,MSS
2023-12-25 12:00:00,0.03531136,MSS
2023-12-25 13:00:00,0.0360594,MSS
2023-12-25 14:00:00,0.03714318,MSS
2023-12-25 15:00:00,0.03809659,MSS
2023-12-26 00:00:00,0.04152484,MSS
2023-12-26 01:00:00,0.04342391,MSS
2023-12-26 02:00:00,0.04440952,MSS
2023-12-26 03:00:00,0.04522651,MSS
